trial_number,time_elapsed,latitude,longitude,depth
82,85,39.70739818567608,19.452157779626468,606.84506606378
82,86,39.70752330034396,19.45250719771262,606.5854862167047
82,87,39.70778045997805,19.452744554349223,607.504904672697
82,88,39.70787782263418,19.453016676363628,608.2136468346683
82,89,39.707944308026036,19.4532328711683,605.2480672144007
82,90,39.708142830348294,19.453607790698467,605.372705229855
82,91,39.708285004002335,19.453973073793847,605.639425832496
82,92,39.70845094567297,19.45447028431976,605.6665190483727
82,93,39.7089456362304,19.454578170165263,607.6585177296339
82,94,39.7091061377641,19.455155151923233,608.6099887170853
82,95,39.70925339819508,19.455713628638158,607.7830554390505
82,96,39.70933496279192,19.456014050648882,608.5193628387162
82,97,39.70950190403622,19.45643741305904,608.5969896274189
82,98,39.7096985458193,19.456883204621658,608.4450583893076
82,99,39.709759044424736,19.457248126700065,608.4765279157937
82,100,39.70975390760621,19.457620681868583,606.8558304394496
82,101,39.70996253168644,19.45800420307474,606.8524921428926
82,102,39.710150148095195,19.45839677709734,607.1036354303836
82,103,39.710097625487755,19.45875093885582,605.9548374260339
82,104,39.71031061977173,19.459234294802343,605.2086898824339
82,105,39.710582812341165,19.45944427527032,605.8199531694144
82,106,39.71070309010452,19.460041701594896,604.9540621106769
82,107,39.71098529827065,19.460528426896254,604.9202430724845
82,108,39.71121215164289,19.46081844022543,604.2991366064507
82,109,39.71131809005239,19.461084292704335,604.4807458773968
82,110,39.71166468582001,19.461423561784105,603.3327184825591
82,111,39.711686028206714,19.462017786436572,603.3582822594202
82,112,39.71176769254781,19.462298752664108,604.3986899943528
82,113,39.711824385315744,19.462454117219185,606.3405392184518
82,114,39.71195525183473,19.462808783953705,606.3648144331289
82,115,39.712124699471815,19.463174738050526,606.6315538536561
82,116,39.71222493525361,19.463515083198832,606.6351334324399
82,117,39.712457182728095,19.464017276155055,606.5513223662335
82,118,39.712764587650064,19.46446250301352,607.2151575958341
82,119,39.712857870800335,19.46478895094639,607.3180786761012
83,0,39.6922016,19.4186879,603.804557363255
83,1,39.69250199211212,19.417381143343654,604.0118622957281
83,2,39.69260747892932,19.415680367822265,603.1111028302892
83,3,39.6931386438193,19.413954156148836,601.5408690649564
83,4,39.69335366841017,19.4122879471453,602.3903400013088
83,5,39.693816247291814,19.410848189346634,601.4876149382907
83,6,39.694167353157205,19.409515975992274,600.5542251414917
83,7,39.69444323460841,19.408105732144698,600.7196620240748
83,8,39.69476694052104,19.406745402118396,600.8339851084407
83,9,39.69520244750552,19.404962403639164,602.0754374146576
83,10,39.69544877394148,19.40327042186002,600.3149517615468
83,11,39.69586691930608,19.401745026768282,600.7038925980931
83,12,39.69677948192933,19.4004628563203,590.2720576417656
83,13,39.69686982740531,19.39845026308471,588.3094593377218
83,14,39.697149082230496,19.396648761907425,587.871562695116
83,15,39.69731503701898,19.395274390164236,588.2522622884818
83,16,39.69770930989499,19.393673878123554,588.9128402363876
83,17,39.69758619699835,19.39256684542238,588.1586490715273
83,18,39.69779002335562,19.390859264666194,586.8419339028148
83,19,39.69809816230607,19.389185608542782,585.9997699576185
83,20,39.69847004800274,19.38796923860746,587.2555738997357
83,21,39.69886690591965,19.386515370009665,588.1629601370071
83,22,39.69887146540019,19.385184954177397,589.003822693173
83,23,39.699089551927806,19.383557968403295,588.6806765970226
83,24,39.69950442286738,19.38239951636552,588.2128539514373
83,25,39.69900114622652,19.38112276921119,583.773630869973
83,26,39.69933153031365,19.379455589063394,584.3177334405443
83,27,39.69928773626606,19.378005577226382,584.9936107543475
83,28,39.69972883507966,19.376310433061423,584.6504579123018
83,29,39.699947628496055,19.375051955674593,585.8158840473603
83,30,39.70013133841054,19.373527872528175,585.5057000419648
83,31,39.7002134868356,19.372022425330467,585.6965213092849
83,32,39.70001099359627,19.37029994429438,584.6973148852626
83,33,39.7001473895629,19.368774034419783,584.3114087005174
83,34,39.700368672793175,19.367303984893088,584.2148775198599
83,35,39.70048917801408,19.365557815548982,583.8964137337857
83,36,39.70054330650197,19.36402589552097,584.4408696217502
83,37,39.700387299951224,19.36238016248365,587.0249653283603
83,38,39.70053377312227,19.360738800965667,587.2496780012671
83,39,39.700897601002,19.359358298073076,588.2558733640881
83,40,39.701204856841684,19.358045931316532,583.5808690524638
83,41,39.701260469234555,19.356646796844263,583.2868162911668
83,42,39.70141338728398,19.35539977250382,583.346975121485
83,43,39.701491670036866,19.353784522177,582.8216009061881
83,44,39.70129042277748,19.351960609720663,583.8233828452585
83,45,39.70136395481955,19.35034792525888,583.4917051686907
83,46,39.70143471210665,19.348686857057157,582.9097210465758
83,47,39.69963906320605,19.346800726840815,581.2054519104081
83,48,39.69703147420344,19.345514966526817,582.4003561058248
83,49,39.69522598445718,19.344592769184825,586.862678200419
83,50,39.693405707379036,19.342555913400712,585.7575193407977
83,51,39.69150714405014,19.340579972546678,584.9969438766327
83,52,39.689607426039515,19.338778096903383,584.3917346470223
83,53,39.68801321174039,19.33596111022805,586.0751518822509
83,54,39.68629664537431,19.333951786992404,584.3330934865162
83,55,39.68409191488965,19.332048111656526,585.4373872443742
83,56,39.68245393737558,19.33030592789183,586.6482793894135
83,57,39.680313762419175,19.330431884225707,585.9789001911467
83,58,39.67899189971396,19.330268599901803,585.8675525914099
83,59,39.677303683260995,19.329696748749175,585.5469459518589
83,60,39.67623233348199,19.32884847910063,584.9826880043371
83,61,39.67435697035732,19.329075187034437,585.567680237149
83,62,39.67344573161906,19.328447839876965,581.245508300183
83,63,39.67212577455573,19.328694931111993,580.8407970107252
83,64,39.67076589929727,19.32853655222784,579.7539974513772
83,65,39.6693344583652,19.327972695440405,578.4372406808131
83,66,39.66781651829429,19.32705339056149,579.7005016846689
83,67,39.66609945431244,19.326993448351704,578.9412632793039
83,68,39.66488637005706,19.326430196410236,577.3891983575605
83,69,39.663572450885226,19.32633098816176,575.911168574591
83,70,39.66165502749266,19.32559102483695,575.3305440984728
83,71,39.66040785010016,19.325669828887154,576.8470211578377
83,72,39.65953930506475,19.325031078238354,573.4747891277395
83,73,39.65799725833145,19.324233676344647,571.1499509267214
83,74,39.65638330582005,19.323691064306402,569.7366344130722
83,75,39.65454108811055,19.323320745031584,567.4912335355002
